symbol,fundingTime,fundingRate
UNIUSDT,1694448000001,5.227e-05
PERPUSDT,1694390400000,-0.00072859
PERPUSDT,1694419200000,-0.00046119
PERPUSDT,1694448000001,-0.00045666
RVNUSDT,1694390400000,0.0001
RVNUSDT,1694419200000,0.0001
RVNUSDT,1694448000001,6.833e-05
ARKMUSDT,1694390400000,0.0001
ARKMUSDT,1694419200000,0.0001
ARKMUSDT,1694448000001,6.622e-05
NKNUSDT,1694390400000,-0.0001065
NKNUSDT,1694419200000,-9.001e-05
NKNUSDT,1694448000001,0.0001
KLAYUSDT,1694390400000,0.0001
KLAYUSDT,1694419200000,0.0001
KLAYUSDT,1694448000001,4.016e-05
DEFIUSDT,1694390400000,-0.00090216
DEFIUSDT,1694419200000,-0.00064023
DEFIUSDT,1694448000001,-0.00023743
COMPUSDT,1694390400000,8.991e-05
COMPUSDT,1694419200000,0.0001
COMPUSDT,1694448000001,3.834e-05
BTCDOMUSDT,1694390400000,-0.00024478
BTCDOMUSDT,1694419200000,-4.747e-05
BTCDOMUSDT,1694448000001,-3.745e-05
BTCUSDT,1694390400000,-3e-06
BTCUSDT,1694419200000,1.823e-05
BTCUSDT,1694448000001,1.838e-05
OMGUSDT,1694390400000,6.371e-05
OMGUSDT,1694419200000,0.0001
OMGUSDT,1694448000001,9.787e-05
ICXUSDT,1694390400000,0.0001
ICXUSDT,1694419200000,0.0001
ICXUSDT,1694448000001,2.341e-05
1000PEPEUSDT,1694390400000,-6.17e-06
1000PEPEUSDT,1694419200000,3.538e-05
1000PEPEUSDT,1694448000001,-0.00020051
FETUSDT,1694390400000,3.822e-05
FETUSDT,1694419200000,-0.00015443
FETUSDT,1694448000001,7.047e-05
LEVERUSDT,1694390400000,4.669e-05
LEVERUSDT,1694419200000,0.0001
LEVERUSDT,1694448000001,6.991e-05
1000FLOKIUSDT,1694390400000,0.0001
1000FLOKIUSDT,1694419200000,0.0001
1000FLOKIUSDT,1694448000001,0.0001
FTMUSDT,1694390400000,-1.821e-05
FTMUSDT,1694419200000,1.833e-05
FTMUSDT,1694448000001,5.356e-05
AMBUSDT,1694390400000,0.0001
AMBUSDT,1694419200000,0.0001
AMBUSDT,1694448000001,0.0001
SXPUSDT,1694390400000,6.079e-05
SXPUSDT,1694419200000,0.0001
SXPUSDT,1694448000001,0.0001
XEMUSDT,1694390400000,0.0001
XEMUSDT,1694419200000,0.0001
XEMUSDT,1694448000001,0.0001
WLDUSDT,1694390400000,-8.917e-05
WLDUSDT,1694419200000,-7.919e-05
WLDUSDT,1694448000001,-9.39e-06
ZILUSDT,1694390400000,-0.00026777
ZILUSDT,1694419200000,5.018e-05
ZILUSDT,1694448000001,0.0001
DYDXUSDT,1694390400000,6.32e-05
DYDXUSDT,1694419200000,6.26e-05
DYDXUSDT,1694448000001,-7.258e-05
AXSUSDT,1694390400000,-0.00043371
AXSUSDT,1694419200000,-0.0002899
AXSUSDT,1694448000001,-0.00033752
OCEANUSDT,1694390400000,1.876e-05
